Email,Group,Year,Timestamp,Mentor_A,Mentor_B,Mentor_C,Mentor_D,Mentor_E,Mentor_F,Mentor_G,Mentor_H,Mentor_I,Mentor_J,Mentor_K,Mentor_L,Mentor_M,Mentor_N,Mentor_O,Mentor_P,Mentor_Q,Mentor_R,Mentor_S,Mentor_T,Mentor_U,Mentor_V,Mentor_W
rosetta.lupu@domain.com,MoGen MHSc student,6,2022-05-19 10:23:02,Strong interest,,,,,,,,,,,Interested,Interested,Strongest interest,,,,,Strongest interest,,Strong interest,,
geraldine.fisher@domain.com,MoGen research graduate student,6,2022-05-19 10:33:10,Interested,Strong interest,Strongest interest,,,,,,,,,,,,,,,,,,,,
george.auld@domain.com,MoGen research graduate student,4,2022-05-19 10:43:13,Strong interest,Strong interest,Strong interest,,,,,,,,Strongest interest,,,Strongest interest,Interested,Interested,Strongest interest,Strongest interest,Strongest interest,,,,
earl.rouse@domain.com,MoGen MHSc student,5,2022-05-19 10:43:19,Strongest interest,,,,,,,,,,,,,,Strong interest,Strong interest,,,,,,,Interested
alan.sikora@domain.com,MoGen research graduate student,2,2022-05-19 11:06:32,,,,,,,,,,,,,,,,Strong interest,,,,,Strongest interest,Strongest interest,Strongest interest
jennifer.brock@domain.com,MoGen research graduate student,4,2022-05-19 12:17:55,Interested,Interested,Interested,,,,,,,,,,Strong interest,,Strong interest,,,,,Strong interest,Strong interest,,Strong interest
viola.clark@domain.com,MoGen research graduate student,1,2022-05-19 12:51:46,,,,,,,,,,,,,Strongest interest,Strong interest,Interested,,,,,,,,
james.williams@domain.com,MoGen MHSc student,3,2022-05-19 13:55:27,Strongest interest,Strong interest,Strong interest,Interested,Interested,Interested,Interested,Interested,Interested,Interested,Strongest interest,Interested,Strong interest,Interested,Interested,Strongest interest,Strongest interest,Strongest interest,Interested,Interested,Strongest interest,Interested,Interested
brian.fosnaugh@domain.com,MoGen research graduate student,6,2022-05-19 15:00:08,,,,,,,Interested,,,,,,,,,Strong interest,,,,,,Strongest interest,
phillip.petersen@domain.com,trainee at a department other than MoGen,2,2022-05-19 15:59:09,Interested,,,,,,,,,,Strongest interest,,,,,Strongest interest,,,,,,,
